product_name,categories,ingredients_text,countries_en,category_label
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion power, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, sugar, distilled vinegar, salt, onion powder, spice, natural flavor.",United States,1061
"Organic Microwave Popcorn, Butter",popcorn,"Organic popcorn, organic palm oil, salt, organic butter flavor, organic annatto.",United States,2312
Microwave Popcorn,popcorn,"Popcorn, palm oil, salt, natural and artificial flavors, coloring.",United States,2312
"Microwave Popcorn, Extra Butter",popcorn,"Popcorn, palm oil, salt, natural and artificial flavors, coloring.",United States,2312
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar corn syrup, salt onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, sugar, distilled vinegar, salt, onion powder, spice, natural flavor.",United States,1061
"Microwave Popcorn, Butter",popcorn,"Popcorn, palm oil, salt.",United States,2312
Microwave Kettle Corn Popcorn,popcorn,"Popcorn, palm oil, salt, natural and artificial flavors, sucralose.",United States,2312
"Microwave Popcorn, Butter",popcorn,"Popcorn, palm oil, salt, natural and artificial flavors, coloring.",United States,2312
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Swiss Dark Chocolate,"Sugary snacks,Chocolates","Cocoa Mass, Sugar, Cocoa Butter, Cocoa Powder, Flavouring.",United Kingdom,1933
Pepsi,"Beverages,Carbonated drinks,Sodas","Carbonated water, sugar, caramel color, phosphoric acid, caffeine, citric acid, natural flavor",United States,244
Amp Energy Cherry Blast,"Energy Drink,Carbonated","Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavor, Taurine, Guarana Seed Extract, Sodium Benzoate, Sodium Hexametaphosphate, Citrus Pectin, Caffeine, Gum Arabic, Niacinamide, Sucralose, Calcium Pantothenate, Panax Ginseng Root Extract, Yerba Mate Extract, Red 40, Calcium Disodium EDTA, Brominated Vegetable, Oil, Riboflavin",United States,649
Brown Rice,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals,Rices",long grain brown rice  ,United Kingdom,1442
Organic Coconut Palm Sugar,"Sweeteners,Sugars",Organic coconut palm sugar,United States,1949
Orzo by Sainsbury's,"Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas",Durum Wheat Semolina,United Kingdom,1570
pipe rigate,Pasta,Durum wheat semolina,United Kingdom,1345
Semolina,Semolina,Durum wheat Semolina  ,United Kingdom,1854
Kirsch,"Eau de vie,Kirsch",Micro distilled from cherries,United Kingdom,633
Honey roasted sliced almonds,Honey roasted sliced almonds,"Almonds, sugar, brown sugar, salt, honey, natural flavour.",United States,986
Half lamb leg bone in,Lamb,Lamb half leg bone in,United Kingdom,1088
Pure Water,"Beverages,Waters,Non-sugared beverages","PURIFIED WATER, MAGNESIUM SULFATE, POTASSIUM BICARBONATE, CALCIUM CHLORIDE.",United States,264
Extra Fancy Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
British Sirloin Steak,Beef,beef sirloin steak  ,United Kingdom,197
Pure Cane Sugar Golden Brown,"Sweeteners,Sugars,Cane sugar",brown sugar,United States,1951
"Redner's, Microwave Popcorn",popcorn,"Popping corn, palm oil, salt.",United States,2312
Honey Nut Chex,Cereal,"Whole Grain Corn, Corn Meal, Sugar, Honey, Salt, Brown Sugar Syrup, Molasses, Rice Bran, Canola Oil, Natural Almond Flavor, Natural Flavor",United States,409
All Natural Pure Cane Sugar,"Sweeteners,Sugars,Cane sugar",Sugar.,United States,1951
Premium Ground Bison,Bison,Ground Bison,United States,276
6 free range British mixed size eggs Omega 3 enriched,Eggs,free range British Eggs Omega 3 enriched,United Kingdom,639
Cucumbers in Brine,Cucumbers in Brine,"Cucumbers, water, salt, acetic acid, dill, garlic, pepper, calcium chloride",United Kingdom,556
asparagus spears,"Asparagus,Vegetables",asparagus spears,United Kingdom,156
Semi skimmed British milk,"Dairies,Milks,Semi skimmed Milk",Pasteurised homogenised standardised semi skimmed milk  ,United Kingdom,592
Ground almonds,"Salty snacks,Nuts,Almonds,Ground almonds",Ground Almonds,United Kingdom,1805
soda water,carbonated soda water,"Carbonated Water, Sodium Hydrogen Carbonate",United Kingdom,2181
Whole British Milk,"Dairies,Milks,Whole Milk",Pasteurised homogenised standardised whole milk,United Kingdom,593
Great Northern Beans,Canned white common beans,"PREPARED GREAT NORTHERN BEANS, WATER, SALT, CALCIUM CHLORATE",United States,376
Boneless Scottish salmon fillet,"Seafood,Fishes,Salmons,Salmon fillet",Skin on boneless salmon fillet,United Kingdom,1843
Heinen's Organic Unsweetened With Lemon  Iced Tea ,Iced teas,"Filtered water, organic black tea, organic green tea essence, organic lemon flavor, citric acid.",United States,1018
Tomato Ketchup,"Groceries,Sauces,Tomato sauces,Ketchup","TOMATO CONCENTRATE, HIGH FRUCTOSE CORN SYRUP, VINEGAR, CORN SYRUP, SALT, ONION POWDER, SPICE, NATURAL FLAVORS.",United States,921
refreshe drinking water,"Beverages,Waters,Non-sugared beverages,Drinking water",drinking water,United States,265
Tomato Ketchup,Ketchup,"Tomato concentrate from select ripe tomatoes, high fructose corn syrup, distilled vinegar, salt, spice, onion powder, natural flavorings.",United States,1061
refreshe cola,"Beverages,Carbonated drinks,Sodas,Sugared beverages,Colas","CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVOR, CAFFEINE.  ",United States,249
Lime Seltzer,"Beverages,Carbonated drinks","CARBONATED WATER, NATURAL FLAVOR.",United States,242
White Grapefruit Juice,Concentrated grapefruit juices,"FILTERED WATER, GRAPEFRUIT JUICE CONCENTRATE.  ",United States,504
Corn Oil,"Corn Oils,Vegetable Oils,Oils",CORN OIL,United States,543
Cinnamon sugar,Sugars,"sugar, cinnamon",United States,1929
Original Sweet Potato Chips,"Potato crisps in sunflower oil,Kettle cooked chips,Sweet potato chips","Sweet potatoes, sunflower oil, sea salt.",United States,1650
British beef ribeye steak,"Beef,Meats",Beef,United Kingdom,203
"Parrot, Aloe Vera Drink, Pineapple","Plant-based-beverages,Aloe Vera Drinks","Purified water, sugar, aloe vera gel, citric acid, pineapple flavor, pineapple concentrate, calcium lactate, sodium citrate, citrus flavor, vitamin c, gellan gum, beta carotene.",United States,1572
"Parrot, Aloe Vera Drink, Aloe Strawberry","Plant-based-beverages,Aloe Vera Drinks","Purified water, sugar, aloe vera gel, citric acid, artificial strawberry flavor, honey, calcium lactate, vitamin c, sodium citrate, cochineal extract, gellan gum, caramel extract, sucralose.",United States,1572
Aloe Vera Drink,"Plant-based-beverages,Aloe Vera Drinks","Purified water, sugar, aloe vera gel, citric acid, artificial strawberry flavor, honey, calcium lactate, vitamin c, sodium citrate, cochineal extract, gellan gum, caramel extract, sucralose.",United States,1572
Blueberries,"Blueberries,Fresh Fruits",Bluberries variety Draper,United Kingdom,290
Clover Honey,Honey,Honey,United States,985
Garden Quality Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, distilled vinegar, corn syrup, salt, natural flavors, onion powder, spice, garlic powder.",United States,1061
Whole Kernel Corn,Canned Corn,"Corn, water, sea salt",United States,353
Tranches d'Ananas au jus d'Ananas,Ananas au jus,"Ananas, jus d'ananas.",France,122
Pezzi di ananas con sciroppo aromatizzato al limone ,Fruits,"Pezzi di ananas, succo di ananas chiarificato, zucchero, aroma naturale di limone ",Italy,831
Lima Beans,Canned common beans,"Lima beans, water, sea salt, calcium chloride.",United States,356
Quail Eggs,Quail eggs,"Quail eggs, water, salt.",United States,1702
Fresh Creamy Goat's Cheese,"Goat's Cheese,Cheeses,Dairies",Full Fat Soft Goat's Cheese Made with pasteurised milk   ,United Kingdom,880
Morton Iodized Salt,"Groceries,Condiments,Salts,Table salts","salt, calcium silicate, dextrose, potassium iodide",United States,908
Lite Salt Mixture,"Groceries,Spices,Salts","SALT, POTASSIUM CHLORIDE, CALCIUM SILICATE, MAGNESIUM CARBONATE, DEXTROSE, POTASSIUM IODIDE.",United States,922
Basil,herbs,Basil,United Kingdom,2262
Darigold half and half,"Coffee creamer,milk,cream",Milk and cream,United States,494
Suncokretovo ulje,"Vegetable oils,Sunflower oils",Jestivo rafinisano suncokretovo ulje,Serbia,2018
Original Gourmet Popping Corn,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Salty snacks,Appetizers,Corn,Popcorn",Orville Redenbacher's Gourmet Popping Corn.,United States,1438
Sonoma Pure Goat Milk Cheese,Goat Milk Cheese,"Cultured pasteurized goat milk, california orange blossom honey, enzymes.",United States,876
"Pure Goat Milk Cheese, Black Truffle",Goat Milk Cheese,"Pasteurized goat milk, italian black truffle, salt, microbial enzymes.",United States,876
Nesquik Drink Powder - Chocolate,"Beverages,Breakfasts,Hot beverages,Chocolates,Instant hot beverages,Cocoa powder,Sugared beverages","sugar, cocoa processed with alkali, soy lecithin, carrageenan, salt, artificial flavors, spice",United States,241
Cheetos ,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Potatoes","Corn Meals Ferrous Sulfate, Enriched Corn Meal, Monitrate, Niacin, Thiamin, Vegetable oil, Cheese season, Canola oil, Salt, Whey protein concentrate, Monosodium glutamate, Natural Artificial Flavors, Latic acid, Citric Acid. ",United States,1477
Simply Natural Blue Corn Tortilla Chips,"Tortilla chips,Corn chips","Organic Blue Corn, Expeller-Pressed Sun flower Oil, Sea salt.",United States,2000
Pistachios,"Pistachios,Nuts","Pistachios, Salt.",United States,1392
Macaroni Elbows No. 35,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals,Pastas",Seminola and durum flour ,United States,1440
Large Round Cheese Ravioli ,"Cheese Ravioli,Ravioli","EXTRA FANCY DURUM WHEAT FLOUR, WHOLE MILK RICOTTA CHEESE, FRESH PASTEURIZED EGGS, WATER, IMPORTED PECORINO ROMANO CHEESE, FRESH PARSLEY, AND SEASONING",United States,431
QUAKER OATS,"Oat flakes,Breakfasts",Whole Grain Rolled Oats.,United States,1297
Organic Microwave Popcorn,popcorn,"Organic yellow popcorn, organic palm oil, salt, organic butter flavor",United States,2312
Scottish Lochmuir Salmon fillet Joint,"Seafood,Fishes,Salmons",Scottish Lochmuir Salmon fillet Joint,United Kingdom,1842
Dill,"dill,Herbs",Dill,United Kingdom,2210
Spam,spam,"Pork with ham, salt, water, modified potato starch, sugar, sodium nitrite",United States,2338
Sour Chewy Cubes,candy,"Sugar, Corn Syrup, Corn Starch, Modified Corn Starch, Citric Acid, Tartaric Acid, Red 40, Yellow 5, Yellow 6, Blue 1, Artificial Color, Natural and Artificial Flavors, Fumaric Acid, Sodium Citrate.",United States,2177
Sweet Potatoes,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Sweet potatoes",Sweet Potatoes,United States,1480
Grape Tomatoes,Grape tomatoes,Grape tomatoes.,United States,892
Natural peanut butter and flaxseed,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Oilseed purees,Nut butters,Legume butters,Peanut butters","Peanuts, flaxseed, agave syrup peanut oil, palm fruit oil, and salt.",United States,1565
Natural Unsweetened Cocoa,Cocoa,Cocoa,United States,483
California Chili Hot Sauce,"Groceries,Sauces","Chili, Distilled Vinegar, Garlic, Salt, Sugar, Potassium Sorbate and Sodium Bisulfite as preservatives, and Xanthan gum.",United States,916
Hot sauce,"Groceries,Sauces,Hot sauces","AGED RED CAYENNE PEPPERS, DISTILLED VINEGAR, SALT, XANTHAM GUM, NATURAL FLAVOR.",United States,917
Traditional Yellow Mustard,Mustard,"Vinegar, water, mustard seed, salt, turmeric, paprika.",United States,1278
Tomato Ketchup,Ketchup,"Tomato puree, water, cane sugar, vinegar, modified corn starch, salt, spices, permitted sodium benzoate, natural spice flavours.",United States,1061
Hojuelas de avena natural,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Semillas,Cereales en grano,Avena",Hojuelas de avena de grano entero,Mexico,75
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Organic Microwave Popcorn,popcorn,Organic popcorn.,United States,2312
Natural Milk Chocolate,"chocolate,dessert,sweets","chocolate liquor, milk, cane sugar, cocoa butter, lactose, soy lecithin, vanilla","Canada,United States",2193
Jimmy Chips - BBQ Flavored ,"Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps,Flavoured potato crisps,Barbecue crisps","POTATOES, PEANUT OIL, SUGAR, MOLASSES, DEXTROSE, SALT,  ONION POWDER, MALTODEXTRIN, MONOSODIUM GLUTAMATE, NATURAL SMOKE FLAVOR, SPICE, TORULA YEAST, PAPRIKA, GARLIC POWDER, CITRIC ACID, TOMATO POWDER, PAPRIKA OLEORESIN, SPICE EXTRACTIVE, AND NATURAL FLAVOR.  ",United States,1800
Natural creamy peanut butter,Peanut butters,"Roasted peanuts, sugar, palm oil, salt.",United States,1351
Spam Classic,"Canned precooked meat,Precooked meat","pork with ham, salt, water, modified potato starch, sugar, sodium nitrite",United States,372
Spam Single Classic,Precooked meat,"Pork, Water, Salt, Modified Potato Starch, Sugar, Potassium Chloride, Sodium Nitrite",United States,1666
Spam Classic,"Canned precooked meat, Precooked meat","pork with ham, salt, water, modified potato starch, sugar, sodium nitrite",United States,371
Sweetheart Cabbage,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Fresh vegetables",sweetheart cabbage,United Kingdom,1538
Asahi,Beer,contains cultured yeast,United States,204
Tropical Gold Premium Pineapple Chunks in Juice,Ananas au jus,"Ananas, jus d'ananas",France,122
Corned Beef,Corned beef,"Cooked beef, beef, water, salt, sugar, sodium nitrite.",United States,544
Maple Syrup,"Sweeteners,Syrups,Simple syrups,Maple syrups",Grade A Dark Amber Maple Syrup,United States,1953
Goat Milk Cheese,"Dairies,Cheeses,Goat cheese","Pasteurized goat milk, salt, cultures and enzymes.",United States,568
Bob's Red Mill Pure Baking Soda,Bicarbonates of soda,sodium bicarbonate,United States,271
Black Tea with Vanilla ,Black teas,"Black Tea, Ground Vanilla Beans, Marigold Petals, Natural Flavor.",United States,280
Thyme,"Thyme,Herbs",Thyme,United Kingdom,1982
Natural California Raisins,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Raisins","CALIFORNIA SEEDLESS RAISINS, RAISINS ARE MECHANICALLY STEMMED AND MAY CONTAIN AN OCCASIONAL GRAPE STEM OR WOOD PIECE.",United States,1503
Natural California Raisins,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Raisins",CALIFORNIA SEEDLESS RAISINS,United States,1503
"Microwave Popcorn, Butter",popcorn,"Certified organic gourmet yellow popcorn, certified organic palm oil, certified organic butter flavor, salt.",United States,2312
Organic Tomato Ketchup,Ketchup,"Organic tomato puree, organic sugar, organic white vinegar, salt, organic onion powder and organic spices",United States,1061
Microwave Popcorn,popcorn,"Organic yellow popcorn, organic palm oil, salt.",United States,2312
Flat Fillets CF Anchovies,Fish,"Wild caught anchovies, olive oil, salt",United States,739
"Fleur De Sel, Hand-Harvested French Sea Salt","Groceries,Condiments,Salts,Sea salts",Sea salt hand-harvested from france's ile de re.,United States,907
Ghost pepper salsa,"Groceries,Sauces,Hot sauces","Tomatoes, water, jalapeno peppers,onions, green chile peppers, distilled vinegar, corn starch, salt, ghost peppers, garlic, spices, cilantro.",United States,917
Bolognese Authentic Italian Pasta Sauce,"Groceries,Sauces,Pasta sauces","PLUM TOMATOES, DICED TOMATOES IN JUICE, CRUSHED TOMATOES, IMPORTED OLIVE OIL, GROUND BEEF, FRESH ONIONS, ORGANIC SUGAR, GARLIC, SEA SALT, PARSLEY, OREGANO, BASIL, WHITE PEPPER",United States,918
Schnucks Blackeye Peas,Black-eyed peas,Blackeye peas,United States,281
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Cream of Coconut,Coconut Cream,"COCONUT JUICE, SUGAR, POLYSORBATE 60, SALT, CITRIC ACID, MONO AND DIGLYCERIDES, PROPYLENE GLYCOL ALGINATE, SORBITAN MONOSTEARATE, GUAR GUM AND LOCUST BEAN GUM",United States,484
Leche de coco,"Leches de coco, Leches de coco para cocinar","Leche de coco, agua.","Spain,United States",1104
Blackberries in light syrup,"Fruits in syrup,Blackberries in syrup","Blackberries, water and sugar.",United States,838
Pitted dark sweet cherrie in heavy syrup,"Fruits in syrup,Cherries in syrup","Cherries, water, sugar.",United States,839
Wild Caught Shrimp,Shrimps,"Shrimp, water, salt, citric acid.",United States,1856
Microwave Popcorn,popcorn,"Popcorn, partially hydrogenated soybean oil, salt.",United States,2312
Microwave Popcorn,popcorn,"Popcorn, partially hydrogenated soybean oil, salt.",United States,2312
"Organics, Tomato Ketchup",Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
"Microwave Popcorn, Butter",popcorn,Popcorn,United States,2312
Pepperoni original,"Meals,Pizzas pies and quiches,Pizzas","pork, beef, salt, spices, dextrose, lactic acid starter culture, flavourings, oleoresin of paprika, sodium ascorbate, sodium nitrate, BHA, BHT, Citric acid",United States,1167
Premium Microwave Popcorn Movie Theater Butter,popcorn,"Popcorn, palm oil, salt, natural and artificial flavor, annatto color.",United States,2312
Aloe Vera Drink,"Plant-based-beverages,Aloe Vera Drinks","Purified water, aloe vera gel, cane sugar, dextrine, white grape concentrate, citric acid, calcium lactate, ascorbic acid, artificial muscat flavor, artificial aloe flavor, sucralose, sodium citrate, gellan gum, beta carotene.",United States,1572
S.Pellegrino,"Beverages,Waters,Non-sugared beverages,Mineral Water,Sparkling Mineral Water,Sparkling Water",Carbonated mineral water,United States,266
Almonds,"Salty snacks,Nuts,Almonds",Almonds.,United States,1803
"Pop Weaver, Slim Pop Microwave Popcorn",popcorn,"Popcorn, canola oil, hydrogenated cottonseed oil, palm oil, salt, natural flavor, tbhq and ascorbic acid for freshness.",United States,2312
"Pop Weaver, Slim Pop Microwave Popcorn",popcorn,"Popcorn, canola oil, hydrogenated cottonseed oil, palm oil, salt, natural flavor, tbhq and ascorbic acid for freshness",United States,2312
"Pop Weaver, Microwave Popcorn, Light Butter",popcorn,"Popcorn, canola oil, salt, hydrogenated cottonseed oil, natural and artificial flavor, color added, tbhq for freshness",United States,2312
"Ketchup, Horseradish",Ketchup,"Tomato paste, passover vinegar, horseradish, sugar, salt, vegetable stabilizer and spices.",United States,1061
Deli style mustard,Mustard,"SELECT MUSTARD SEEDS, VINEGAR, SALT, TURMERIC AND SPICES",United States,1278
Bertolli Extra Virgin Olive Oil,Olive oil,Extra Virgin Olive Oil,United States,1310
Welch's Concord Grape Jam,Grape jams,"concord grapes, corn syrup, high fructose corn syrup, fruit pectin, citric acid, sodium citrate",United States,891
So Organic Whole British Milk,"Groceries,Dairies",Pasteurized Homogenised Cow's Milk,United Kingdom,915
british round lettuce,vegetable,lettuce,United Kingdom,2348
Monterey Jack Whole Milk Cheese ,"Cheese,Monterey Jack","Cultured pasteurized grade A milk, salt, enzymes.",United States,432
Spring Greens,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Fresh vegetables,Cabbage",Spring Greens,United Kingdom,1540
Maille Dijon Originale,Moutardes de Dijon,"Eau, graines de moutarde, vinaigre, sel, acide citrique, sulfite",Canada,1272
HOT MANGO SAUCE,Hot sauces,"Mangue, Sucre, Vinaigre de sucre de canne, Sel, Gingembre, Piments, Ail, Poudre d'onion.",France,991
Belvita Breakfast Chocolate,Breakfast biscuits,"whole grain wheat flour, enriched flour, sugar, canola oil, whole grain rolled oats, semi-sweet chocolate, whole grain rye flour, cocoa processed with alkali, baking soda, disodium pyrophosphate, salt, soy lecithin, natural flavor, datem, iron, vitamin B6, vitamin B2, vitamin B1.",United States,312
Cashew Butter,Cashew Butters,"Dry roasted cashews, expeller-pressed safflower oil or organic high oleic sunflower oil.",United States,390
Trader Joe's Jalapeno Pepper Hot Sauce,"Groceries,Sauces,Hot sauces","red ripened jalapeno peppers, distilled vinegar, salt",United States,917
Gandules verdes en conserva,Gandules verdes en conserva,"Gandul, agua y sal.",Spain,853
Zero calorie sweetener,Artificial sugar substitutes,"Nutritive Dextrose, Saccharin, Cream of Tartar, Calcium Silicate",United States,152
Minced Garlic in wanter,"Minced Garlic,Garlic","Water, garlic, citric acid.",United States,1260
Unwaxed lemons,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Citrus,Lemons,Fresh Fruits",Lemons,United Kingdom,1516
Ravens Oak Goat's Cheese,"Cheeses,Dairies,Goat's Cheese",ravens oak goat's cheese,United Kingdom,434
Shallots,Shallots,Shallots.,United Kingdom,1855
Italian Arborio Risotto Rice,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals,Rices",Italian arborio risotto rice  ,United Kingdom,1442
Microwave Popcorn,popcorn,Popcorn.,United States,2312
Microwave Popcorn,popcorn,"Popcorn, palm oil, and salt.",United States,2312
"Amish Country, White Hulless Microwave Popcorn",popcorn,"Popcorn, palm oil, salt.",United States,2312
Microwave Popcorn,popcorn,"Popcorn, palm oil, salt, natural and artificial butter flavor, soy lecithin, and beta carotene for color.",United States,2312
"Amish Country, Microwave Popcorn",popcorn,"Popcorn, palm oil, salt, natural and artificial butter flavor, soy lecithin, sucralose.",United States,2312
watermelon,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Watermelons",watermelon,United Kingdom,1529
Natural Swiss Sliced Cheese,Cheese,"Cultured part skim milk, enzymes, salt, aged over 60 days.",United States,430
2 Mediterranean Seabass Fillets,Seabass,seabass,United Kingdom,1840
coconut,coconut,coconut,United Kingdom,2197
Palmherzen,Palmherzen,Palmherzen.,Germany,1334
Tropicana Pure Premium,Orange juices,Florida orange juice,United States,1320
Dasani Purified Water,"Beverages,Waters,Non-sugared beverages","Purified water, magnesium sulfate, potassium chloride, salt",France,264
